Date,Arrivals
Jan-98,346200
Feb-98,353600
Mar-98,338600
Apr-98,341100
May-98,283400
Jun-98,304200
Jul-98,372300
Aug-98,323700
Sep-98,323900
Oct-98,354800
Nov-98,367900
Dec-98,457600
Jan-99,351000
Feb-99,398600
Mar-99,389000
Apr-99,334100
May-99,298100
Jun-99,317100
Jul-99,388500
Aug-99,355600
Sep-99,353100
Oct-99,397000
Nov-99,416700
Dec-99,460800
Jan-00,360800
Feb-00,434600
Mar-00,411900
Apr-00,405600
May-00,319300
Jun-00,347900
Jul-00,429000
Aug-00,372900
Sep-00,403000
Oct-00,426500
Nov-00,459900
Dec-00,559900
Jan-01,416600
Feb-01,429200
Mar-01,428700
Apr-01,405400
May-01,330200
Jun-01,370000
Jul-01,446900
Aug-01,384600
Sep-01,366300
Oct-01,378500
Nov-01,376200
Dec-01,523200
Jan-02,379300
Feb-02,437200
Mar-02,446500
Apr-02,360300
May-02,329900
Jun-02,339400
Jul-02,418200
Aug-02,371900
Sep-02,358600
Oct-02,428900
Nov-02,437000
Dec-02,534000
Jan-03,396600
Feb-03,427500
Mar-03,392500
Apr-03,321500
May-03,260900
Jun-03,308300
Jul-03,415500
Aug-03,362200
Sep-03,385600
Oct-03,435300
Nov-03,473300
Dec-03,566600
Jan-04,420200
Feb-04,454800
Mar-04,432300
Apr-04,402800
May-04,341300
Jun-04,367300
Jul-04,467600
Aug-04,403100
Sep-04,393500
Oct-04,447400
Nov-04,478000
Dec-04,591400
Jan-05,456900
Feb-05,498800
Mar-05,502100
Apr-05,406600
May-05,351300
Jun-05,377000
Jul-05,497000
Aug-05,429300
Sep-05,412100
Oct-05,461900
Nov-05,470700
Dec-05,599300
Jan-06,461400
Feb-06,485000
Mar-06,473400
Apr-06,435000
May-06,342900
Jun-06,379700
Jul-06,478200
Aug-06,410200
Sep-06,423500
Oct-06,472900
Nov-06,490000
Dec-06,640900
Jan-07,451000
Feb-07,510200
Mar-07,520000
Apr-07,434900
May-07,364700
Jun-07,398000
Jul-07,482800
Aug-07,434800
Sep-07,434100
Oct-07,468800
Nov-07,499200
Dec-07,614800
Jan-08,440600
Feb-08,546400
Mar-08,513700
Apr-08,424300
May-08,380000
Jun-08,382500
Jul-08,530500
Aug-08,418800
Sep-08,400000
Oct-08,455700
Nov-08,470300
Dec-08,611800
Jan-09,451900
Feb-09,501800
Mar-09,486800
Apr-09,452800
May-09,372900
Jun-09,362300
Jul-09,459000
Aug-09,413200
Sep-09,437300
Oct-09,484800
Nov-09,485300
Dec-09,649400
Jan-10,448700
Feb-10,560100
Mar-10,526300
Apr-10,428900
May-10,375000
Jun-10,403700
Jul-10,510900
Aug-10,451300
Sep-10,475700
Oct-10,494500
Nov-10,518100
Dec-10,678400
Jan-11,473800
Feb-11,565100
Mar-11,500100
Apr-11,460300
May-11,384500
Jun-11,387700
Jul-11,505600
Aug-11,467000
Sep-11,431000
Oct-11,499500
Nov-11,522800
Dec-11,674800
Jan-12,502000
Feb-12,565700
Mar-12,543800
Apr-12,465100
May-12,393400
Jun-12,420500
Jul-12,499900
Aug-12,498700
Sep-12,475500
Oct-12,521000
Nov-12,560100
Dec-12,721300
Jan-13,488700
Feb-13,617000
Mar-13,588900
Apr-13,461500
May-13,413300
Jun-13,447500
Jul-13,530900
Aug-13,529300
Sep-13,493900
Oct-13,542800
Nov-13,578100
Dec-13,789800
Jan-14,562500
Feb-14,637600
Mar-14,600800
Apr-14,528600
May-14,472900
Jun-14,457900
Jul-14,589600
Aug-14,540900
Sep-14,521800
Oct-14,586700
Nov-14,611200
Dec-14,811800
Jan-15,547400
Feb-15,726100
Mar-15,679300
Apr-15,550200
May-15,485700
Jun-15,488200
Jul-15,628300
Aug-15,574100
Sep-15,572000
Oct-15,625800
Nov-15,671500
Dec-15,901300
Jan-16,617700
Feb-16,798600
Mar-16,757300
Apr-16,610500
May-16,541300
Jun-16,555100
Jul-16,715800
Aug-16,632100
Sep-16,647000
Oct-16,695900
Nov-16,721800
Dec-16,976100
Jan-17,724000
Feb-17,787600
Mar-17,772200
Apr-17,700000
May-17,579100
Jun-17,606000
Jul-17,746400
Aug-17,702900
Sep-17,663600
Oct-17,741400
Nov-17,777100
Dec-17,1015000
Jan-18,702600
Feb-18,914500
Mar-18,872400